"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","< VALUE >","-3DB BANDWIDTH","ACCESS TIME","ACCURACY","ADDRESS BUS WIDTH","APPROVALS","AVAILABILITY","AVERAGE RECTIFIED CURRENT","BANDWIDTH","BODY MATERIAL","BODY PLATING","BREAKDOWN VOLTAGE","BUILT_BY","CAPACITANCE","CASE CODE (IMPERIAL)","CASE CODE (METRIC)","CASE/PACKAGE","CLAMPING CURRENT","CLAMPING VOLTAGE","COIL CURRENT","COIL POWER","COIL RESISTANCE","COIL VOLTAGE (DC)","COLLECTOR BASE VOLTAGE (VCBO)","COLLECTOR EMITTER BREAKDOWN VOLTAGE","COLLECTOR EMITTER SATURATION VOLTAGE","COLLECTOR EMITTER VOLTAGE (VCEO)","COLOR","COMMENT","COMMENT_1","COMMON MODE REJECTION RATIO","COMPONENTLINK10DESCRIPTION","COMPONENTLINK10URL","COMPONENTLINK11DESCRIPTION","COMPONENTLINK11URL","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","COMPONENTLINK3DESCRIPTION","COMPONENTLINK3URL","COMPONENTLINK4DESCRIPTION","COMPONENTLINK4URL","COMPONENTLINK5DESCRIPTION","COMPONENTLINK5URL","COMPONENTLINK6DESCRIPTION","COMPONENTLINK6URL","COMPONENTLINK7DESCRIPTION","COMPONENTLINK7URL","COMPONENTLINK8DESCRIPTION","COMPONENTLINK8URL","COMPONENTLINK9DESCRIPTION","COMPONENTLINK9URL","COMPOSITION","CONNECTOR TYPE","CONTACT CURRENT RATING","CONTACT GENDER","CONTACT MATERIAL","CONTACT MATING LENGTH","CONTACT PLATING","CONTACT RESISTANCE","CONTACT VOLTAGE RATING (AC)","CONTINUOUS DRAIN CURRENT (ID)","COPYRIGHT","CORE ARCHITECTURE","CORE MATERIAL","CURRENT","CURRENT RATING","CURRENT SENSING","CURRENT TRANSFER RATIO","DATA BUS WIDTH","DATA RATE","DATASHEETVERSION","DC CURRENT","DC RESISTANCE (DCR)","DENSITY","DEPTH","DEVICEDESIGNATOR","DEVICENUMBERING","DEVICESINPACKAGE","DEVICESINVIEW","DIAMETER","DIELECTRIC","DIELECTRIC MATERIAL","DIGI-KEY_PART_NUMBER","DIGI-KEY_PURCHASE_URL","DIGIKEY-PURCHASE-URL","DIRECTION","DISSIPATION FACTOR","DOMINANT WAVELENGTH","DRAIN TO SOURCE BREAKDOWN VOLTAGE","DRAIN TO SOURCE RESISTANCE","DRAIN TO SOURCE VOLTAGE (VDSS)","DROPOUT VOLTAGE","DUAL SUPPLY VOLTAGE","EFFICIENCY","ELEMENT CONFIGURATION","ELV","EMITTER BASE VOLTAGE (VEBO)","ENERGY","ESD PROTECTION","ESR (EQUIVALENT SERIES RESISTANCE)","EU_ROHS_COMPLIANCE","EVALUATION KIT","FALL TIME","FASTENING TYPE","FEATURES","FLAMMABILITY RATING","FORWARD CURRENT","FORWARD VOLTAGE","FREQUENCY","FREQUENCY STABILITY","FREQUENCY TOLERANCE","FUSE CURRENT","GAIN BANDWIDTH PRODUCT","GATE TO SOURCE VOLTAGE (VGS)","GENDER","GOVERNMENT QUALIFIED","HALOGEN FREE","HEAVY DUTY","HEIGHT","HEIGHT - SEATED (MAX)","HFE MIN","HIGH LEVEL OUTPUT CURRENT","HOLD CURRENT","HOLE DIAMETER","HOUSING COLOR","HOUSING MATERIAL","ILLUMINATION COLOR","INDUCTANCE","INDUCTANCE TOLERANCE","INPUT BIAS CURRENT","INPUT CAPACITANCE","INPUT CURRENT","INPUT OFFSET VOLTAGE (VOS)","INSIDE DIAMETER","INSULATED WIRE SUPPORT","INSULATION","INSULATION DIAMETER","INSULATION MATERIAL","INSULATION RESISTANCE","INTERFACE","ISHETEROGENEOUS","ISOLATION VOLTAGE","LATESTREVISIONDATE","LATESTREVISIONNOTE","LEAD DIAMETER","LEAD FREE","LEAD LENGTH","LEAD PITCH","LEAKAGE CURRENT","LENGTH","LENS COLOR","LENS STYLE","LIFE (HOURS)","LINEARITY","LOAD CAPACITANCE","LOGIC FUNCTION","LOW LEVEL OUTPUT CURRENT","LUMINOUS INTENSITY","MANUFACTURER","MANUFACTURER PART NUMBER","MANUFACTURER_PART_NUMBER","MATERIAL","MATERIAL THICKNESS","MAX BREAKDOWN VOLTAGE","MAX COLLECTOR CURRENT","MAX CURRENT RATING","MAX DC CURRENT","MAX DUAL SUPPLY VOLTAGE","MAX FORWARD SURGE CURRENT (IFSM)","MAX FREQUENCY","MAX INPUT CURRENT","MAX INPUT VOLTAGE","MAX OPERATING TEMPERATURE","MAX OUTPUT CURRENT","MAX OUTPUT VOLTAGE","MAX POWER DISSIPATION","MAX REPETITIVE REVERSE VOLTAGE (VRRM)","MAX RESET THRESHOLD VOLTAGE","MAX REVERSE VOLTAGE (DC)","MAX SUPPLY CURRENT","MAX SUPPLY VOLTAGE","MAX SURGE CURRENT","MAX VARISTOR VOLTAGE","MAX VOLTAGE RATING (AC)","MAX VOLTAGE RATING (DC)","MEMORY SIZE","MEMORY TYPE","MF","MILITARY STANDARD","MIN DUAL SUPPLY VOLTAGE","MIN INPUT VOLTAGE","MIN OPERATING TEMPERATURE","MIN OUTPUT VOLTAGE","MIN RESET THRESHOLD VOLTAGE","MIN SUPPLY VOLTAGE","MIN VARISTOR VOLTAGE","MOUNT","MOUSER-PURCHASE-URL","MP","NATURAL THERMAL RESISTANCE","NOMINAL INPUT VOLTAGE","NOMINAL SUPPLY CURRENT","NOMINAL VGS","NUMBER OF A/D CONVERTERS","NUMBER OF ADC CHANNELS","NUMBER OF AMPLIFIERS","NUMBER OF BITS","NUMBER OF BITS PER ELEMENT","NUMBER OF CELLS","NUMBER OF CHANNELS","NUMBER OF CIRCUITS","NUMBER OF CONTACTS","NUMBER OF CORES PER JACK","NUMBER OF DRIVERS","NUMBER OF ELEMENTS","NUMBER OF GATES","NUMBER OF HOLES","NUMBER OF I/OS","NUMBER OF I2C CHANNELS","NUMBER OF INPUT LINES","NUMBER OF INPUTS","NUMBER OF LEVELS","NUMBER OF OUTPUT LINES","NUMBER OF OUTPUTS","NUMBER OF PINS","NUMBER OF POLES","NUMBER OF PORTS","NUMBER OF POSITIONS","NUMBER OF POSITIONS PER LEVEL","NUMBER OF PROGRAMMABLE I/O","NUMBER OF PWM CHANNELS","NUMBER OF RECEIVERS","NUMBER OF ROWS","NUMBER OF SPI CHANNELS","NUMBER OF TERMINATIONS","NUMBER OF TIMERS/COUNTERS","NUMBER OF TRANSCEIVERS","NUMBER OF TRANSMITTERS","NUMBER OF UART CHANNELS","NUMBER OF VOLTAGES MONITORED","ON-STATE RESISTANCE","OPERATE TIME","OPERATING SUPPLY CURRENT","OPERATING SUPPLY VOLTAGE","ORIENTATION","ORIGINALSYMBOLORIGIN","OSCILLATOR TYPE","OUTPUT CONFIGURATION","OUTPUT CURRENT","OUTPUT CURRENT PER CHANNEL","OUTPUT TYPE","OUTPUT VOLTAGE","OUTSIDE DIAMETER","OVERVOLTAGE THRESHOLD","PACKAGE","PACKAGE QUANTITY","PACKAGEDESCRIPTION","PACKAGENAME","PACKAGEREFERENCE","PACKAGEVERSION","PACKAGING","PANEL MOUNT RETENTION","PCB MOUNT RETENTION","PCB MOUNTING ORIENTATION","PEAK NON-REPETITIVE SURGE CURRENT","PEAK PULSE POWER","PEAK REVERSE CURRENT","PERIPHERALS","PITCH","PLATING","PLATING THICKNESS","POLARITY","POLARIZED","POWER DISSIPATION","POWER RATING","POWER SUPPLY REJECTION RATIO (PSRR)","PRICE","PRICING 1","PRICING 2","PROPAGATION DELAY","PUBLISHED","PUBLISHER","QUIESCENT CURRENT","RADIATION HARDENING","RAM SIZE","RDS ON MAX","REACH SVHC","RECOVERY TIME","REFDES","RESET","RESET TIMEOUT","RESISTANCE","RESPONSE TIME","REVERSE BREAKDOWN VOLTAGE","REVERSE RECOVERY TIME","REVERSE VOLTAGE","RIPPLE CURRENT","RISE TIME","RJ45","RMS CURRENT (IRMS)","ROW SPACING","SATURATION CURRENT","SCHMITT TRIGGER INPUT","SEALABLE","SELF RESONANT FREQUENCY","SENSITIVITY","SHIELDING","SHROUDED","SIMPLEX/DUPLEX","SLEW RATE","SNAPEDA_LINK","STOCK 1","STOCK 2","STUD DIAMETER","SUPPLIER 1","SUPPLIER 2","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLY TYPE","SWITCHING FREQUENCY","SYNCHRONOUS RECTIFIER","TE_PURCHASE_URL","TEMPERATURE COEFFICIENT","TERMINATION","TEST CURRENT","TEST FREQUENCY","THICKNESS","THRESHOLD VOLTAGE","THROW CONFIGURATION","TIME FORMAT","TOLERANCE","TONGUE THICKNESS","TOPOLOGY","TRANSITION FREQUENCY","TURN-OFF DELAY TIME","TURN-ON DELAY TIME","TYPE","UNDERVOLTAGE THRESHOLD","UNITY GAIN BANDWIDTH PRODUCT","VALUE","VARISTOR VOLTAGE","VENDOR","VIEWING ANGLE","VOLTAGE","VOLTAGE GAIN","VOLTAGE RATING","VOLTAGE RATING (AC)","VOLTAGE RATING (DC)","WATCHDOG TIMER","WEIGHT","WIDTH","WIRE GAUGE (MAX)","WIRE GAUGE (MIN)","WIRE/CABLE DIAMETER","WIRE/CABLE GAUGE","SHEETPART","DESIGNATOR","DESCRIPTION"
"1N4007","DIODE1N4007(Primary)","","","","","","","","Unavailable","1A","","","","","","15pF","","","","","","","","","","","","","","","1N4007","","","","","","","http://www.farnell.com/datasheets/2288250.pdf?src-supplier=Newark","http://www.farnell.com/datasheets/2288250.pdf?src-supplier=Newark","http://www.onsemi.com/pub/Collateral/1N4001-D.PDF?src-supplier=Digi-Key","http://www.onsemi.com/pub/Collateral/1N4001-D.PDF?src-supplier=Digi-Key","http://www.fairchildsemi.com/datasheets/1N/1N4001.pdf?src-supplier=Digi-Key","http://www.fairchildsemi.com/datasheets/1N/1N4001.pdf?src-supplier=Digi-Key","","","","","","","","","","","","","","","","","","","Tin,Matte","","","","","","","","1A","","","","","","","","","","","","","","2.72mm","","","","","","","","","","","","","","","Single","","","","","","","","","","","","1A","1.1V","","","","","","","","","","","5.2mm","","","","","","","","","","","","","","","","","","","","","","","","","","","Lead Free","","","","5.2mm","","","","","","","","","ON Semiconductor / Fairchild","1N4007","","","","","","","","","30A","","","","175°C","","","","1kV","","1kV","","","30A","","","","","","ON Semiconductor","","","","-65°C","","","","","Through Hole","","1N4007","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","1A","","","","","","DO-41 Good-Ark","1000","","","","","Tape and Reel","","","","30A","","5uA","","","","","Standard","","3W","","","None","1=0.18, 10=0.168, 100=0.0912, 500=0.05614, 1000=0.03827 (USD)","","","","","","No","","","No SVHC","","","","","","","","","1kV","","","","","","","","","","","","","","","https://www.snapeda.com/parts/1N4007/ON%20Semiconductor/view-part/?ref=snap","0","","","Digi-Key","","1N4007FSCT-ND","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","1kV","","0.245g","2.72mm","","","","","*","D?","Diode Switching 1KV 1A 2-Pin DO-41"
"1N4148","1N4148","","","","","","","","Unavailable","1A","","","","","","15pF","","","","","","","","","","","","","","","1N4148","","","","","","","http://www.farnell.com/datasheets/2288250.pdf?src-supplier=Newark","http://www.farnell.com/datasheets/2288250.pdf?src-supplier=Newark","http://www.onsemi.com/pub/Collateral/1N4001-D.PDF?src-supplier=Digi-Key","http://www.onsemi.com/pub/Collateral/1N4001-D.PDF?src-supplier=Digi-Key","http://www.fairchildsemi.com/datasheets/1N/1N4001.pdf?src-supplier=Digi-Key","http://www.fairchildsemi.com/datasheets/1N/1N4001.pdf?src-supplier=Digi-Key","","","","","","","","","","","","","","","","","","","Tin,Matte","","","","","","","","1A","","","","","","","","","","","","","","2.72mm","","","","","","","","","","","","","","","Single","","","","","","","","","","","","1A","1.1V","","","","","","","","","","","5.2mm","","","","","","","","","","","","","","","","","","","","","","","","","","","Lead Free","","","","5.2mm","","","","","","","","","ON Semiconductor / Fairchild","1N4007","","","","","","","","","30A","","","","175°C","","","","1kV","","1kV","","","30A","","","","","","ON Semiconductor","","","","-65°C","","","","","Through Hole","","1N4007","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","1A","","","","","","DO-41 Good-Ark","1000","","","","","Tape and Reel","","","","30A","","5uA","","","","","Standard","","3W","","","None","1=0.18, 10=0.168, 100=0.0912, 500=0.05614, 1000=0.03827 (USD)","","","","","","No","","","No SVHC","","","","","","","","","1kV","","","","","","","","","","","","","","","https://www.snapeda.com/parts/1N4007/ON%20Semiconductor/view-part/?ref=snap","0","","","Digi-Key","","1N4007FSCT-ND","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","1kV","","0.245g","2.72mm","","","","","*","D?","Diode Switching 1KV 1A 2-Pin DO-41"
"24lc1025-i/sn","SOIC8-N_MC-M","","","","900ns","","","","","","","","","","EMA_UL_Team","","","","SOIC","","","","","","","","","","","","Part Number: 24lc1025-i/sn","","","","","","","http://ww1.microchip.com/downloads/en/DeviceDoc/21941H.pdf?src-supplier=Avnet","http://ww1.microchip.com/downloads/en/DeviceDoc/21941H.pdf?src-supplier=Avnet","http://ww1.microchip.com/downloads/en/DeviceDoc/21941H.pdf?src-supplier=Avnet+Europe","http://ww1.microchip.com/downloads/en/DeviceDoc/21941H.pdf?src-supplier=Avnet+Europe","http://www.produktinfo.conrad.com/datenblaetter/650000-674999/651234-da-01-en-EEPROM_24LC1025_I_SN_SOIC_8N_MCP.pdf?src-supplier=Conrad","http://www.produktinfo.conrad.com/datenblaetter/650000-674999/651234-da-01-en-EEPROM_24LC1025_I_SN_SOIC_8N_MCP.pdf?src-supplier=Conrad","","","","","","","","","","","","","","","","","","","","","","","Copyright (C) 2018 Accelerated Designs. All rights reserved","","","","","","","","","","","","1Mb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","400kHz","","","","","","","","","","1.75mm","","","","","","","","","","","","","","","","","","","","","I2C,Serial","","","","","","Lead Free","","","","4.9mm","","","","","","","","","Microchip","24LC1025-I/SN","24lc1025-i/sn","","","","","","","","","400kHz","","","85°C","","","","","","","","5.5V","","","","","1Mb","EEPROM","","","","","-40°C","","","2.5V","","Surface Mount","","","","","5mA","","","","","","","","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","5V","","","","","","","","","","","","100","","","","","Rail/Tube","","","","","","","","","","","","","","","","","1=2.86, 25=2.76 (USD)","","","","","","No","","","","","RefDes","","","","","","","","","","","","","","","","","","","","","","","1127","","","Digi-Key","","24LC1025-I/SN-ND","","","","","","","","","","","","","","","","","","","","DEV","","","Value","","Microchip","","","","","","","","","6mm","","","","","*","U?","Memoria IC EEPROM 1Mb (128K x 8) I²C 900ns 8-SOIC"
"2N3906","TO-92A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Manufacturer Link","http://www.fairchildsemi.com/","Datasheet","http://www.fairchildsemi.com/ds/2N%2F2N3906.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1997","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15-Jan-2003","PCB Footprint 'BCY-W3/D4.7' replaced","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TO, Flat Index; 3 In-Line, Axial Leads; Body Dia. 4.5mm; Leads 0.51 x 0.48 mm (max)","","TO-92A","Sep-1998","","","","","","","","","","","","","","","","","","","","","8-Jun-2000","Altium Limited","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Q?","PNP General Purpose Amplifier"
"3FD-320","XFMR_3FD-320","","","","","","","","Unavailable","","","","","","","","","","","","","","","","","","","","","","3FD-320","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Tamura","","","","","","","","","","","3FD-312","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SOIC-16 Tamura","","","","","","","","","","","","","","","","","","","","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.snapeda.com/parts/3FD-312/Tamura/view-part/?ref=snap","","","","Digi-Key","","MT2110-ND","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","*","T?","Transformadores 12.6VCT @ .2A 6.3V  @ .4A Dual Primary"
"7414","SOIC-14_NB-M","","","","","","","","","","","","","","","","","","SOIC","","","","","","","","","","","","*","","","","","","","http://www.ti.com/general/docs/lit/getliterature.tsp?genericPartNumber=SN54AHC14&&fileType=pdf&src-supplier=Avnet","http://www.ti.com/general/docs/lit/getliterature.tsp?genericPartNumber=SN54AHC14&&fileType=pdf&src-supplier=Avnet","http://www.farnell.com/datasheets/1962896.pdf?src-supplier=Element14","http://www.farnell.com/datasheets/1962896.pdf?src-supplier=Element14","http://www.ti.com/lit/ds/symlink/sn74ahc14.pdf?src-supplier=Digi-Key","http://www.ti.com/lit/ds/symlink/sn74ahc14.pdf?src-supplier=Digi-Key","http://focus.ti.com/lit/ds/symlink/sn74ahc14.pdf?src-supplier=Avnet","http://focus.ti.com/lit/ds/symlink/sn74ahc14.pdf?src-supplier=Avnet","https://www.verical.com/server-webapp/html/getDatasheet?partID=72636&src-supplier=Verical","https://www.verical.com/server-webapp/html/getDatasheet?partID=72636&src-supplier=Verical","http://www.jameco.com/Jameco/Products/ProdDS/1383736.pdf?src-supplier=Jameco","http://www.jameco.com/Jameco/Products/ProdDS/1383736.pdf?src-supplier=Jameco","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.58mm","","","-8mA","","","","","","","","","","","","","","","","","","","","","","","","Lead Free","","","","8.65mm","","","","","","Buffer,Inverter,Schmitt Trigger","8mA","","Texas Instruments","SN74AHC14DR","","","","","","","","","","","","","125°C","","","","","","","","5.5V","","","","","","","","","","","-40°C","","","2V","","Surface Mount","","","","","","","","","","6","","","","6","","","","6","6","","","","","1","","","","14","","","","","","","","","","","","","","","","","","","","","","","","25mA","","","","","","","2500","","","","","Tape and Reel","","","","","","","","","","","","","","","","","1=0.41, 10=0.308, 100=0.1918, 500=0.13122, 1000=0.10094 (USD)","","18.5ns","","","2uA","No","","","No SVHC","","","","","","","","","","","","","","","","Yes","","","","","","","","","11747","","","Digi-Key","","296-1085-6-ND","","","","","","","","","","","","","","","","","","","10.6ns","","","","","","","","","","","","","","0.004318oz","3.91mm","","","","","*","U?",""
"74AC125/SO_0","SOIC-14_NB-M","","","","","","","","","","","","","","","","","","SOIC","","","","","","","","","","","","*","","","","","","","http://www.onsemi.com/pub/Collateral/MC74AC125-D.PDF?src-supplier=Future+Electronics","http://www.onsemi.com/pub/Collateral/MC74AC125-D.PDF?src-supplier=Future+Electronics","http://www.onsemi.com/pub/Collateral/MC74AC125-D.PDF?src-supplier=Avnet","http://www.onsemi.com/pub/Collateral/MC74AC125-D.PDF?src-supplier=Avnet","https://www.verical.com/server-webapp/html/getDatasheet?partID=40488&src-supplier=Verical","https://www.verical.com/server-webapp/html/getDatasheet?partID=40488&src-supplier=Verical","http://www.onsemi.com/pub/Collateral/MC74AC125-D.PDF?src-supplier=Avnet+Europe","http://www.onsemi.com/pub/Collateral/MC74AC125-D.PDF?src-supplier=Avnet+Europe","http://www.onsemi.com/pub_link/Collateral/MC74AC125-D.PDF?src-supplier=Digi-Key","http://www.onsemi.com/pub_link/Collateral/MC74AC125-D.PDF?src-supplier=Digi-Key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Halogen Free","","1.5mm","","","-24mA","","","","","","","","","","","","","","","","","","","","","","","","Lead Free","","","","8.75mm","","","","","","Buffer,Inverting","24mA","","ON Semiconductor","MC74AC125DG","","","","","","","","","","","","","85°C","","","500mW","","","","","6V","","","","","","","","","","","-40°C","","","2V","","Surface Mount","","","","","","","","","","4","1","","4","","","","","4","","","","","4","4","","3","4","14","","","","","","","","","","","","","","","","","","","5V","","","","","","","","","","","","55","","","","","Rail/Tube","","","","","","","","","","","Non-Inverting","","","","","","1=0.47, 10=0.4, 100=0.2985, 500=0.23452, 1000=0.18122 (USD)","","7ns","","","8uA","No","","","No SVHC","","","","","","","","","","","","","","","","No","","","","","","","","","1469","","","Digi-Key","","MC74AC125DGOS-ND","","","","","","","","","","","","","","","","","","","11.5ns","","","","","","","","","","","","","","","4mm","","","","","*","U?",""
"ACS711ELCTR-25AB-T","SOIC127P600X175-8N","","","100kHz","","5%","","","Unavailable","","","","","","","","","","SOIC","","","","","","","","","","","","ACS711ELCTR-25AB-T","","","","","","","http://www.allegromicro.com/en/Products/Part_Numbers/0711/0711.pdf?src-supplier=Avnet","http://www.allegromicro.com/en/Products/Part_Numbers/0711/0711.pdf?src-supplier=Avnet","http://www.allegromicro.com/~/media/Files/Datasheets/ACS711-Datasheet.ashx?src-supplier=Avnet+Europe","http://www.allegromicro.com/~/media/Files/Datasheets/ACS711-Datasheet.ashx?src-supplier=Avnet+Europe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.5A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100kHz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1%","","","","","Allegro MicroSystems","ACS711ELCTR-12AB-T","","","","","","","","","","","","","85°C","","","","","","","5.5mA","","","","","","","","Allegro MicroSystems LLC","","","","-40°C","","","","","","","ACS711ELCTR-25AB-T","","","","","","","","","","","1","","","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","3.3V","","","","","","","","","","","SOIC-8 Allegro MicroSystems LLC","1","","","","","Tape and Reel","","","","","","","","","","","Bidirectional","","","","","None","1=2.89, 5=2.682, 10=2.228, 25=1.8564, 50=1.65, 100=1.5675, 500=1.32, 1000=1.2375 (USD)","","","","","","","","","","","","","","","4.6us","","","","","","","","","","","","","110mV/A","","","","","https://www.snapeda.com/parts/ACS711ELCTR-25AB-T/Allegro%20MicroSystems%20LLC/view-part/?ref=snap","4237","","","Digi-Key","","620-1370-6-ND","","","","","","","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","*","U?","Hall Effect Linear Current Sensor with Overcurrent Fault Output for <100 V Isolation Applications"
"BC2032-E2","BAT3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BC2032-E2","","","","","","","http://www.memoryprotectiondevices.com/datasheets/BS-7-datasheet.pdf?src-supplier=Digi-Key","http://www.memoryprotectiondevices.com/datasheets/BS-7-datasheet.pdf?src-supplier=Digi-Key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20mm","","","BC2032-E2-ND","https://www.digikey.com/product-detail/en/mpd-memory-protection-devices/BC2032-E2/BC2032-E2-ND/2077836?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lead Free","","","","","","","","","","","","","Memory Protection Devices","BS-7","","","","","","","","","","","","","105°C","","","","","","","","","","","","","","","MPD _Memory","","","","-55°C","","","","","Through Hole,PCB","","BC2032-E2","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","100","","","","","","","","","","","","","","","","","","","","","","1=0.75, 10=0.634, 100=0.5239, 500=0.45288, 1000=0.4235 (USD)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.snapeda.com/parts/BC2032-E2/MPD%20%28Memory%20Protection%20Devices%29/view-part/?ref=snap","49949","","","Digi-Key","","BS-7-ND","","","","","","","PC Pin","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","","","*","BT?","BATTERY HOLDER COIN 20MM PC PIN"
"CAP-0603","CAP-0603","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18pF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","C3","Ceramic CAP 0603(1608)"
